attack_family,synthetic_to_authentic_ratio,pipeline,metric,scope,run_count,course_count,mean_paired_delta,bootstrap_ci95_lower,bootstrap_ci95_upper
benign_low_density,0.5,direct,cror,available_cohort,48,16,0.04791666666666666,-0.09791666666666667,0.17291666666666666
benign_low_density,0.5,direct,cror,available_strict,15,5,0.0,0.0,0.0
benign_low_density,0.5,direct,output_specificity_proxy,available_cohort,75,25,0.10377777777777777,-0.12205,0.3702333333333333
benign_low_density,0.5,direct,output_specificity_proxy,available_strict,24,8,0.36041666666666666,-0.12296874999999996,0.9333333333333333
benign_low_density,0.5,evidence_constrained,asrr,available_cohort,75,25,-0.17355555555555555,-0.2926722222222222,-0.07287777777777785
benign_low_density,0.5,evidence_constrained,asrr,available_strict,24,8,-0.27291666666666664,-0.5,-0.06666666666666667
benign_low_density,0.5,evidence_constrained,cror,available_cohort,48,16,0.1454861111111111,0.001736111111111111,0.3229513888888887
benign_low_density,0.5,evidence_constrained,cror,available_strict,15,5,0.027777777777777776,-0.049999999999999996,0.13333333333333333
benign_low_density,0.5,evidence_constrained,output_specificity_proxy,available_cohort,75,25,-0.4633333333333333,-0.7209,-0.2182166666666667
benign_low_density,0.5,evidence_constrained,output_specificity_proxy,available_strict,24,8,-0.79375,-1.25,-0.3374479166666669
benign_low_density,1.0,bm25_retrieve_then_summarize,asrr,available_cohort,75,25,-0.3224444444444444,-0.4791111111111111,-0.17998888888888895
benign_low_density,1.0,bm25_retrieve_then_summarize,asrr,available_strict,24,8,-0.5145833333333334,-0.8125,-0.22916666666666666
benign_low_density,1.0,bm25_retrieve_then_summarize,cror,available_cohort,48,16,0.18611111111111112,-0.01319444444444444,0.3826909722222219
benign_low_density,1.0,bm25_retrieve_then_summarize,cror,available_strict,15,5,0.1,-0.13333333333333333,0.36666666666666664
benign_low_density,1.0,bm25_retrieve_then_summarize,output_specificity_proxy,available_cohort,75,25,-0.8253333333333334,-1.1662444444444444,-0.4986333333333335
benign_low_density,1.0,bm25_retrieve_then_summarize,output_specificity_proxy,available_strict,24,8,-1.2958333333333334,-1.9791666666666667,-0.6916666666666667
benign_low_density,1.0,direct,asrr,available_cohort,75,25,-0.018000000000000002,-0.1368888888888889,0.08577777777777777
benign_low_density,1.0,direct,asrr,available_strict,24,8,0.08958333333333332,-0.09375,0.29166666666666663
benign_low_density,1.0,direct,cror,available_cohort,48,16,0.06875,-0.05555555555555555,0.22569444444444445
benign_low_density,1.0,direct,cror,available_strict,15,5,-0.01111111111111111,-0.09999999999999999,0.06666666666666667
benign_low_density,1.0,direct,output_specificity_proxy,available_cohort,75,25,0.05088888888888888,-0.19582777777777777,0.2922333333333333
benign_low_density,1.0,direct,output_specificity_proxy,available_strict,24,8,0.13541666666666666,-0.2708333333333333,0.5729166666666666
benign_low_density,1.0,evidence_constrained,asrr,available_cohort,75,25,-0.037333333333333336,-0.0986777777777778,0.02845555555555549
benign_low_density,1.0,evidence_constrained,asrr,available_strict,24,8,-0.05416666666666667,-0.14583333333333331,0.016666666666666663
benign_low_density,1.0,evidence_constrained,cror,available_cohort,48,16,0.034374999999999996,-0.07466145833333333,0.14239583333333314
benign_low_density,1.0,evidence_constrained,cror,available_strict,15,5,0.005555555555555555,-0.049999999999999996,0.06666666666666667
benign_low_density,1.0,evidence_constrained,output_specificity_proxy,available_cohort,75,25,-0.2382222222222222,-0.45957777777777775,-0.023977777777777872
benign_low_density,1.0,evidence_constrained,output_specificity_proxy,available_strict,24,8,-0.42083333333333334,-0.8333333333333333,-0.07499999999999998
half_true_contextual,0.1,bm25_retrieve_then_summarize,asrr,available_cohort,75,25,-0.05555555555555555,-0.12756666666666666,0.006222222222222223
half_true_contextual,0.1,bm25_retrieve_then_summarize,asrr,available_strict,24,8,-0.037500000000000006,-0.14166666666666666,0.04583333333333332
half_true_contextual,0.1,bm25_retrieve_then_summarize,cror,available_cohort,48,16,0.08333333333333333,-0.017361111111111112,0.20494791666666617
half_true_contextual,0.1,bm25_retrieve_then_summarize,cror,available_strict,15,5,0.01111111111111111,-0.06666666666666667,0.09999999999999999
half_true_contextual,0.1,bm25_retrieve_then_summarize,output_specificity_proxy,available_cohort,75,25,-0.21377777777777776,-0.3809,-0.06132222222222228
half_true_contextual,0.1,bm25_retrieve_then_summarize,output_specificity_proxy,available_strict,24,8,-0.16249999999999998,-0.35416666666666663,0.004166666666666669
half_true_contextual,0.1,direct,asrr,available_cohort,75,25,0.03,-0.09069999999999999,0.16333333333333333
half_true_contextual,0.1,direct,asrr,available_strict,24,8,0.12291666666666666,-0.0125,0.3
half_true_contextual,0.1,direct,cror,available_cohort,48,16,0.003125,-0.184375,0.19270833333333334
half_true_contextual,0.1,direct,cror,available_strict,15,5,-0.016666666666666666,-0.049999999999999996,0.0
half_true_contextual,0.1,direct,output_specificity_proxy,available_cohort,75,25,0.10688888888888888,-0.13720555555555558,0.3722555555555554
half_true_contextual,0.1,direct,output_specificity_proxy,available_strict,24,8,0.2479166666666667,-0.08541666666666664,0.6875
half_true_contextual,0.1,evidence_constrained,asrr,available_cohort,75,25,-0.098,-0.19200555555555557,-0.017772222222222255
half_true_contextual,0.1,evidence_constrained,asrr,available_strict,24,8,-0.17291666666666666,-0.33958333333333335,-0.026979166666667245
half_true_contextual,0.1,evidence_constrained,cror,available_cohort,48,16,0.10208333333333333,-0.01458333333333333,0.256267361111111
half_true_contextual,0.1,evidence_constrained,cror,available_strict,15,5,0.07777777777777778,0.0,0.16666666666666666
half_true_contextual,0.1,evidence_constrained,output_specificity_proxy,available_cohort,75,25,-0.19999999999999998,-0.39668888888888887,-0.01577222222222225
half_true_contextual,0.1,evidence_constrained,output_specificity_proxy,available_strict,24,8,-0.4333333333333333,-0.8604166666666666,-0.09375
half_true_contextual,0.25,bm25_retrieve_then_summarize,asrr,available_cohort,75,25,-0.14177777777777778,-0.2440111111111111,-0.043988888888888945
half_true_contextual,0.25,bm25_retrieve_then_summarize,asrr,available_strict,24,8,-0.3125,-0.5,-0.125
half_true_contextual,0.25,bm25_retrieve_then_summarize,cror,available_cohort,48,16,0.047916666666666656,-0.11255208333333333,0.19374999999999998
half_true_contextual,0.25,bm25_retrieve_then_summarize,cror,available_strict,15,5,0.03333333333333333,-0.09999999999999999,0.19999999999999998
half_true_contextual,0.25,bm25_retrieve_then_summarize,output_specificity_proxy,available_cohort,75,25,-0.4222222222222222,-0.6851166666666667,-0.17955000000000002
half_true_contextual,0.25,bm25_retrieve_then_summarize,output_specificity_proxy,available_strict,24,8,-0.8166666666666667,-1.125,-0.4832812500000002
half_true_contextual,0.25,direct,asrr,available_cohort,75,25,-0.0044444444444444444,-0.09778333333333332,0.08957777777777766
half_true_contextual,0.25,direct,asrr,available_strict,24,8,0.09999999999999999,-0.0625,0.2875
half_true_contextual,0.25,direct,cror,available_cohort,48,16,0.05625,-0.04793402777777777,0.1673611111111111
half_true_contextual,0.25,direct,cror,available_strict,15,5,-0.01111111111111111,-0.09999999999999999,0.06666666666666667
half_true_contextual,0.25,direct,output_specificity_proxy,available_cohort,75,25,0.04911111111111111,-0.15535555555555555,0.2693777777777775
half_true_contextual,0.25,direct,output_specificity_proxy,available_strict,24,8,0.19791666666666669,-0.17708333333333331,0.625
half_true_contextual,0.25,evidence_constrained,asrr,available_cohort,75,25,-0.10911111111111112,-0.1978111111111111,-0.029972222222222372
half_true_contextual,0.25,evidence_constrained,asrr,available_strict,24,8,-0.16041666666666665,-0.33749999999999997,0.006249999999999997
half_true_contextual,0.25,evidence_constrained,cror,available_cohort,48,16,0.06597222222222222,-0.017361111111111112,0.16666666666666666
half_true_contextual,0.25,evidence_constrained,cror,available_strict,15,5,-0.01111111111111111,-0.09999999999999999,0.06666666666666667
half_true_contextual,0.25,evidence_constrained,output_specificity_proxy,available_cohort,75,25,-0.29133333333333333,-0.49735,-0.1033222222222223
half_true_contextual,0.25,evidence_constrained,output_specificity_proxy,available_strict,24,8,-0.5145833333333333,-0.9063541666666667,-0.1269791666666672
half_true_contextual,0.5,bm25_retrieve_then_summarize,asrr,available_cohort,75,25,-0.15355555555555556,-0.28334444444444445,-0.04242777777777788
half_true_contextual,0.5,bm25_retrieve_then_summarize,asrr,available_strict,24,8,-0.36875,-0.6354166666666666,-0.13541666666666666
half_true_contextual,0.5,bm25_retrieve_then_summarize,cror,available_cohort,48,16,0.14166666666666666,-0.011111111111111113,0.3020833333333333
half_true_contextual,0.5,bm25_retrieve_then_summarize,cror,available_strict,15,5,0.14444444444444443,0.0,0.3333333333333333
half_true_contextual,0.5,bm25_retrieve_then_summarize,output_specificity_proxy,available_cohort,75,25,-0.46355555555555555,-0.7284888888888889,-0.18766666666666726
half_true_contextual,0.5,bm25_retrieve_then_summarize,output_specificity_proxy,available_strict,24,8,-1.0458333333333334,-1.5291666666666666,-0.5728645833333336
half_true_contextual,0.5,direct,asrr,available_cohort,75,25,-0.007333333333333336,-0.1473611111111111,0.13422777777777775
