attack_family,synthetic_to_authentic_ratio,run_count,course_count,mean_evidence_recall_at_k,bootstrap_ci95_lower,bootstrap_ci95_upper
benign_low_density,2.0,30,10,0.1657010582010582,0.12255257936507936,0.21586177248677246
benign_low_density,5.0,30,10,0.09678571428571428,0.05277777777777778,0.1413501984126984
half_true_contextual,2.0,30,10,0.1616137566137566,0.13547619047619047,0.1929232804232804
half_true_contextual,5.0,30,10,0.08313492063492063,0.03611111111111111,0.1295238095238095
targeted_suppression,2.0,30,10,0.1758994708994709,0.1392857142857143,0.21524140211640205
targeted_suppression,5.0,30,10,0.09039682539682539,0.04284126984126985,0.138969246031746
