attack_family,synthetic_to_authentic_ratio,pipeline,metric,run_count,course_count,mean_paired_delta,bootstrap_ci95_lower,bootstrap_ci95_upper
topic_aligned_reframing,8.0,bm25_retrieve_then_summarize,target_risk_retained,18,6,-0.3888888888888889,-0.7222222222222222,-0.05555555555555555
topic_aligned_reframing,8.0,bm25_retrieve_then_summarize,target_specificity,18,6,-1.0,-1.6666666666666667,-0.3333333333333333
topic_aligned_reframing,8.0,bm25_retrieve_then_summarize,target_strength_0_to_3,18,6,-0.8333333333333334,-1.4444444444444444,-0.27777777777777773
topic_aligned_reframing,8.0,direct,target_risk_omitted,18,6,0.27777777777777773,-0.05555555555555555,0.6666666666666666
topic_aligned_reframing,8.0,direct,target_risk_retained,18,6,-0.27777777777777773,-0.6666666666666666,0.05555555555555555
topic_aligned_reframing,8.0,direct,target_specificity,18,6,-0.7777777777777777,-1.3333333333333333,-0.2222222222222222
topic_aligned_reframing,8.0,direct,target_strength_0_to_3,18,6,-0.8888888888888888,-1.388888888888889,-0.38888888888888884
topic_aligned_reframing,8.0,evidence_constrained,target_risk_omitted,18,6,0.27777777777777773,-0.05555555555555555,0.611111111111111
topic_aligned_reframing,8.0,evidence_constrained,target_risk_retained,18,6,-0.27777777777777773,-0.6666666666666666,0.05555555555555555
topic_aligned_reframing,8.0,evidence_constrained,target_specificity,18,6,-0.6666666666666666,-1.3333333333333333,-0.1111111111111111
topic_aligned_reframing,8.0,evidence_constrained,target_strength_0_to_3,18,6,-0.5555555555555555,-1.3333333333333333,0.1111111111111111
