attack_family,synthetic_to_authentic_ratio,pipeline,metric,scope,run_count,course_count,mean_paired_delta,bootstrap_ci95_lower,bootstrap_ci95_upper
benign_low_density,0.5,direct,asrr,available_strict,24,8,0.016666666666666663,-0.23333333333333334,0.25
benign_low_density,0.5,direct,cror,available_cohort,48,16,-0.00208333333333334,-0.14791666666666667,0.14583333333333331
benign_low_density,0.5,direct,cror,available_strict,15,5,-0.03333333333333333,-0.09999999999999999,0.0
benign_low_density,0.5,direct,output_specificity_proxy,available_cohort,75,25,-0.023333333333333327,-0.28645,0.24333333333333335
benign_low_density,0.5,direct,output_specificity_proxy,available_strict,24,8,0.014583333333333354,-0.5,0.5145833333333333
benign_low_density,0.5,evidence_constrained,asrr,available_cohort,75,25,-0.04333333333333334,-0.13401666666666667,0.047349999999999906
benign_low_density,0.5,evidence_constrained,asrr,available_strict,24,8,0.014583333333333332,-0.14796875,0.22291666666666665
benign_low_density,0.5,evidence_constrained,cror,available_cohort,48,16,0.12569444444444444,-0.004184027777777766,0.2959027777777774
benign_low_density,0.5,evidence_constrained,cror,available_strict,15,5,0.05555555555555555,0.0,0.12222222222222222
benign_low_density,0.5,evidence_constrained,output_specificity_proxy,available_cohort,75,25,0.010222222222222225,-0.18671111111111108,0.204
benign_low_density,0.5,evidence_constrained,output_specificity_proxy,available_strict,24,8,-0.004166666666666662,-0.3583333333333333,0.425
benign_low_density,1.0,bm25_retrieve_then_summarize,asrr,available_cohort,75,25,-0.3993333333333333,-0.5322444444444445,-0.28020555555555565
benign_low_density,1.0,bm25_retrieve_then_summarize,asrr,available_strict,24,8,-0.66875,-0.875,-0.41875
benign_low_density,1.0,bm25_retrieve_then_summarize,cror,available_cohort,48,16,0.3138888888888889,0.15555555555555556,0.47916666666666663
benign_low_density,1.0,bm25_retrieve_then_summarize,cror,available_strict,15,5,0.3333333333333333,0.1,0.5666666666666667
benign_low_density,1.0,bm25_retrieve_then_summarize,output_specificity_proxy,available_cohort,75,25,-0.7888888888888889,-1.0655555555555556,-0.5286666666666667
benign_low_density,1.0,bm25_retrieve_then_summarize,output_specificity_proxy,available_strict,24,8,-1.2875,-1.9377604166666667,-0.7706250000000011
benign_low_density,1.0,direct,asrr,available_cohort,75,25,0.0011111111111111115,-0.08778888888888889,0.10823333333333326
benign_low_density,1.0,direct,asrr,available_strict,24,8,-0.014583333333333335,-0.14583333333333331,0.11249999999999999
benign_low_density,1.0,direct,cror,available_cohort,48,16,-0.009722222222222224,-0.1715451388888889,0.11597222222222223
benign_low_density,1.0,direct,cror,available_strict,15,5,0.01111111111111111,-0.09999999999999999,0.13333333333333333
benign_low_density,1.0,direct,output_specificity_proxy,available_cohort,75,25,0.023555555555555555,-0.16802222222222224,0.2233444444444444
benign_low_density,1.0,direct,output_specificity_proxy,available_strict,24,8,-0.008333333333333318,-0.3708333333333333,0.2729166666666667
benign_low_density,1.0,evidence_constrained,asrr,available_cohort,75,25,-0.04955555555555556,-0.17933333333333334,0.0826777777777777
benign_low_density,1.0,evidence_constrained,asrr,available_strict,24,8,0.014583333333333332,-0.26041666666666663,0.3375
benign_low_density,1.0,evidence_constrained,cror,available_cohort,48,16,0.11944444444444444,-0.026406249999999996,0.2791666666666667
benign_low_density,1.0,evidence_constrained,cror,available_strict,15,5,0.03333333333333333,0.0,0.09999999999999999
benign_low_density,1.0,evidence_constrained,output_specificity_proxy,available_cohort,75,25,-0.05866666666666666,-0.3202666666666667,0.2242555555555554
benign_low_density,1.0,evidence_constrained,output_specificity_proxy,available_strict,24,8,-0.03333333333333333,-0.6479166666666667,0.6645833333333333
half_true_contextual,0.1,bm25_retrieve_then_summarize,asrr,available_cohort,75,25,-0.12666666666666668,-0.20936666666666667,-0.04977777777777779
half_true_contextual,0.1,bm25_retrieve_then_summarize,asrr,available_strict,24,8,-0.29583333333333334,-0.48333333333333334,-0.10833333333333334
half_true_contextual,0.1,bm25_retrieve_then_summarize,cror,available_cohort,48,16,0.07777777777777778,0.011805555555555555,0.14722222222222223
half_true_contextual,0.1,bm25_retrieve_then_summarize,cror,available_strict,15,5,0.14444444444444443,0.03333333333333333,0.25555555555555554
half_true_contextual,0.1,bm25_retrieve_then_summarize,output_specificity_proxy,available_cohort,75,25,-0.16044444444444445,-0.3813555555555555,0.016899999999999946
half_true_contextual,0.1,bm25_retrieve_then_summarize,output_specificity_proxy,available_strict,24,8,-0.3958333333333333,-0.9791666666666666,0.125
half_true_contextual,0.1,direct,asrr,available_cohort,75,25,0.0006666666666666713,-0.10178888888888889,0.11822222222222223
